0.0,_neutralVoltage:1533.20
0.0,_acidVoltage:1894.53
1.02,6.92,135.32
2.02,7.00,144.13
3.03,6.92,147.63
4.03,6.76,152.87
5.03,6.76,163.29
6.03,6.72,163.29
7.03,6.92,195.84
8.04,6.92,194.14
9.04,6.80,221.23
10.04,6.64,227.98
11.04,6.51,251.57
12.04,6.59,233.03
13.04,6.76,280.34
14.04,6.84,297.40
15.04,6.68,266.77
16.05,6.55,275.24
17.05,6.35,293.98
18.05,6.47,299.12
19.05,6.59,309.44
20.05,6.68,300.83
21.05,6.51,330.31
22.05,6.59,351.54
23.05,6.43,351.54
24.06,6.31,342.64
25.06,6.55,376.87
26.06,6.64,371.38
27.06,6.59,375.04
28.06,6.47,371.38
29.06,6.43,376.87
30.07,6.39,393.53
31.06,6.27,410.52
32.07,6.47,408.62
33.07,6.59,386.08
34.07,6.51,382.39
35.07,6.55,431.80
36.07,6.31,406.71
37.08,6.27,431.80
38.08,6.47,435.73
39.08,6.55,461.81
40.08,6.59,441.67
41.08,6.55,445.65
42.08,6.51,455.71
43.09,6.35,437.70
44.08,6.31,441.67
45.09,6.35,445.65
46.09,6.59,437.70
47.09,6.43,467.96
48.09,6.31,445.65
49.09,6.39,459.77
50.1,6.19,463.85
51.1,6.47,459.77
52.1,6.43,470.02
53.1,6.51,467.96
54.1,6.39,472.09
55.1,6.27,470.02
56.1,6.35,472.09
57.1,6.43,463.85
58.11,6.55,480.42
59.11,6.43,495.25
60.11,6.35,484.63
