created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2022-07-23T07:22:40+07:00,1,5.6,726.6,16,,,,
2022-07-23T07:23:00+07:00,2,5.7,725.5,16,,,,
2022-07-23T07:23:20+07:00,3,5.8,720,16,,,,
2022-07-23T07:23:40+07:00,4,5.8,725,16,,,,
2022-07-23T07:24:00+07:00,5,5.75,727.1,14,,,,
2022-07-23T07:24:20+07:00,6,5.75,722.5,14,,,,
2022-07-23T07:24:40+07:00,7,5.73,723.6,14,,,,
2022-07-23T07:25:00+07:00,8,5.76,723.6,14,,,,
2022-07-23T07:25:20+07:00,9,5.75,725.3,14,,,,
2022-07-23T07:25:40+07:00,10,5.77,725.6,14,,,,
2022-07-23T07:26:00+07:00,11,5.72,725.6,14,,,,
2022-07-23T07:26:20+07:00,12,5.75,726.1,14,,,,
2022-07-23T07:26:40+07:00,13,5.76,724.9,14,,,,
2022-07-23T07:27:00+07:00,14,5.76,725.1,14,,,,
2022-07-23T07:27:20+07:00,15,5.78,725.1,14,,,,
2022-07-23T07:27:40+07:00,16,5.76,724.5,12,,,,
2022-07-23T07:28:00+07:00,17,5.75,724.5,12,,,,
2022-07-23T07:28:20+07:00,18,5.75,725.5,12,,,,
