created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2022-07-23T06:20:00+07:00,1,20.53,14,99.79,,,,
2022-07-23T06:40:00+07:00,2,20.42,14.22,99.65,,,,
2022-07-23T07:00:00+07:00,3,20.43,14.21,99.51,,,,
2022-07-23T07:20:00+07:00,4,20.46,14.18,99.38,,,,
2022-07-23T07:40:00+07:00,5,20.48,14.15,99.28,,,,
2022-07-23T08:00:00+07:00,6,20.49,14.17,99.16,,,,
2022-07-23T08:20:00+07:00,7,20.49,14.18,98.96,,,,
2022-07-23T08:40:00+07:00,8,20.47,14.16,98.84,,,,
2022-07-23T09:00:00+07:00,9,20.46,14.13,98.97,,,,
2022-07-23T09:20:00+07:00,10,20.47,14.14,99.27,,,,
2022-07-23T09:40:00+07:00,11,20.45,14.14,99.27,,,,
2022-07-23T10:00:00+07:00,12,20.44,14.11,99.48,,,,
2022-07-23T10:20:00+07:00,13,19.46,14.11,99.34,,,,
2022-07-23T10:40:00+07:00,14,19.44,14.15,99.64,,,,
2022-07-23T11:00:00+07:00,15,19.48,14.09,99.57,,,,
2022-07-23T11:20:00+07:00,16,19.48,14.08,99.43,,,,
2022-07-23T11:40:00+07:00,17,19.46,14.12,99.75,,,,
2022-07-23T12:00:00+07:00,18,19.49,14.08,99.62,,,,
2022-07-23T12:20:00+07:00,19,19.45,14.1,99.48,,,,
2022-07-23T12:40:00+07:00,20,19.54,14.14,99.34,,,,
2022-07-23T13:00:00+07:00,21,19.46,14.12,99.21,,,,
2022-07-23T13:20:00+07:00,22,19.47,14.1,99.08,,,,
2022-07-23T13:40:00+07:00,23,19.49,14.07,98.94,,,,
2022-07-23T14:00:00+07:00,24,19.45,14.04,98.79,,,,
2022-07-23T14:20:00+07:00,25,19.51,14.05,98.67,,,,
2022-07-23T14:40:00+07:00,26,19.49,14.07,98.54,,,,
2022-07-23T15:00:00+07:00,27,19.51,14.11,98.78,,,,
2022-07-23T15:20:00+07:00,28,19.45,14.08,98.67,,,,
2022-07-23T15:40:00+07:00,29,19.5,14.04,98.83,,,,
2022-07-23T16:00:00+07:00,30,18.99,14.03,98.72,,,,
2022-07-23T16:20:00+07:00,31,18.99,14.43,98.64,,,,
2022-07-23T16:40:00+07:00,32,18.99,14.02,98.69,,,,
2022-07-23T17:00:00+07:00,33,18.97,14.03,98.64,,,,
2022-07-23T17:20:00+07:00,34,20.88,14.05,98.63,,,,
2022-07-23T17:40:00+07:00,35,8.9,0,98.51,,,,
2022-07-23T18:00:00+07:00,36,7.8,0,98.24,,,,
2022-07-23T18:20:00+07:00,37,5.01,0,98.17,,,,
2022-07-23T18:40:00+07:00,38,0,0,98.04,,,,
2022-07-23T19:00:00+07:00,39,0,0,97.88,,,,
2022-07-23T19:20:00+07:00,40,0,0,97.74,,,,
2022-07-23T19:40:00+07:00,41,0,0,97.46,,,,
2022-07-23T20:00:00+07:00,42,0,0,97.31,,,,
2022-07-23T20:20:00+07:00,43,0,0,97.26,,,,
2022-07-23T20:40:00+07:00,44,0,0,97.02,,,,
2022-07-23T21:00:00+07:00,45,0,0,96.9,,,,
2022-07-23T21:20:00+07:00,46,0,0,96.89,,,,
2022-07-23T21:40:00+07:00,47,0,0,96.78,,,,
2022-07-23T22:00:00+07:00,48,0,0,96.48,,,,
2022-07-23T22:20:00+07:00,49,0,0,96.29,,,,
2022-07-23T22:40:00+07:00,50,0,0,96.18,,,,
2022-07-23T23:00:00+07:00,51,0,0,96.17,,,,
2022-07-23T23:20:00+07:00,52,0,0,95.93,,,,
2022-07-23T23:40:00+07:00,53,0,0,95.92,,,,
2022-07-24T00:00:00+07:00,54,0,0,95.67,,,,
2022-07-24T00:20:00+07:00,55,0,0,95.45,,,,
2022-07-24T00:40:00+07:00,56,0,0,95.44,,,,
2022-07-24T01:00:00+07:00,57,0,0,95.3,,,,
2022-07-24T01:20:00+07:00,58,0,0,95.17,,,,
2022-07-24T01:40:00+07:00,59,0,0,94.94,,,,
2022-07-24T02:00:00+07:00,60,0,0,94.81,,,,
2022-07-24T02:20:00+07:00,61,0,0,94.73,,,,
2022-07-24T02:40:00+07:00,62,0,0,94.62,,,,
2022-07-24T03:00:00+07:00,63,0,0,94.48,,,,
2022-07-24T03:20:00+07:00,64,0,0,94.26,,,,
2022-07-24T03:40:00+07:00,65,0,0,94.25,,,,
2022-07-24T04:00:00+07:00,66,0,0,94.04,,,,
2022-07-24T04:20:00+07:00,67,0,0,93.96,,,,
2022-07-24T04:40:00+07:00,68,0,0,93.72,,,,
2022-07-24T05:00:00+07:00,69,0,0,93.71,,,,
2022-07-24T05:20:00+07:00,70,0,0,93.59,,,,
2022-07-24T05:40:00+07:00,71,0,0,93.48,,,,
2022-07-24T06:00:00+07:00,72,0,0,93.22,,,,
